Gene_Symbol,Sample,Group,Expression
CRNN,GSM1551311,Normal,14.5648882778906
CRISP3,GSM1551311,Normal,13.1152190639063
TMPRSS11B,GSM1551311,Normal,12.8327803574219
SPINK7,GSM1551311,Normal,13.7955658532031
MAL,GSM1551311,Normal,14.7787030280469
CDKN2A,GSM1551311,Normal,1.98408429457031
CRNN,GSM1551312,Normal,14.0564544335156
CRISP3,GSM1551312,Normal,6.75317574705469
TMPRSS11B,GSM1551312,Normal,10.1356520378828
SPINK7,GSM1551312,Normal,10.9682819022734
MAL,GSM1551312,Normal,13.85694007
CDKN2A,GSM1551312,Normal,1.92554496924219
CRNN,GSM1551313,Normal,15.2572295938281
CRISP3,GSM1551313,Normal,14.8938157265625
TMPRSS11B,GSM1551313,Normal,14.5151785117187
SPINK7,GSM1551313,Normal,15.0214972961719
MAL,GSM1551313,Normal,15.6781892659375
CDKN2A,GSM1551313,Normal,2.6276705291875
CRNN,GSM1551314,Normal,14.1072403828125
CRISP3,GSM1551314,Normal,11.6408674352344
TMPRSS11B,GSM1551314,Normal,10.892401206
SPINK7,GSM1551314,Normal,11.0316611045547
MAL,GSM1551314,Normal,14.399881999375
CDKN2A,GSM1551314,Normal,2.38734572508594
CRNN,GSM1551315,Normal,14.8985029400781
CRISP3,GSM1551315,Normal,13.6674960521094
TMPRSS11B,GSM1551315,Normal,13.153796525625
SPINK7,GSM1551315,Normal,14.4834457236719
MAL,GSM1551315,Normal,15.0598928127344
CDKN2A,GSM1551315,Normal,1.93114217553125
CRNN,GSM1551316,Normal,14.2532551064063
CRISP3,GSM1551316,Normal,14.7830842932813
TMPRSS11B,GSM1551316,Normal,15.3688978628125
SPINK7,GSM1551316,Normal,14.2572703039062
MAL,GSM1551316,Normal,15.0265354314063
CDKN2A,GSM1551316,Normal,9.78995471885938
CRNN,GSM1551317,Normal,14.6054841483594
CRISP3,GSM1551317,Normal,12.670809670625
TMPRSS11B,GSM1551317,Normal,13.4984919440625
SPINK7,GSM1551317,Normal,12.2509467815625
MAL,GSM1551317,Normal,15.4288954026563
CDKN2A,GSM1551317,Normal,2.64513975911719
CRNN,GSM1551318,Normal,15.1163616610937
CRISP3,GSM1551318,Normal,16.29285959375
TMPRSS11B,GSM1551318,Normal,14.2776606609375
SPINK7,GSM1551318,Normal,15.3134985077344
MAL,GSM1551318,Normal,15.3361041067969
CDKN2A,GSM1551318,Normal,1.7957002725
CRNN,GSM1551319,Normal,10.6830494011328
CRISP3,GSM1551319,Normal,11.3576189044531
TMPRSS11B,GSM1551319,Normal,5.23952318658594
SPINK7,GSM1551319,Normal,2.65694859082812
MAL,GSM1551319,Normal,13.3599026232813
CDKN2A,GSM1551319,Normal,10.1008838859609
CRNN,GSM1551320,Normal,15.0157682425
CRISP3,GSM1551320,Normal,15.3274428210938
TMPRSS11B,GSM1551320,Normal,13.9666219996094
SPINK7,GSM1551320,Normal,14.5729167471875
MAL,GSM1551320,Normal,15.4839147409375
CDKN2A,GSM1551320,Normal,2.54617929646094
CRNN,GSM1551321,Normal,15.3438445734375
CRISP3,GSM1551321,Normal,15.5463238357812
TMPRSS11B,GSM1551321,Normal,14.5973188042969
SPINK7,GSM1551321,Normal,14.9230503042187
MAL,GSM1551321,Normal,15.5150521142188
CDKN2A,GSM1551321,Normal,1.92048031699219
CRNN,GSM1551322,Normal,14.9991766484375
CRISP3,GSM1551322,Normal,15.445171055625
TMPRSS11B,GSM1551322,Normal,14.1103227189063
SPINK7,GSM1551322,Normal,14.8076822967188
MAL,GSM1551322,Normal,15.1116196723437
CDKN2A,GSM1551322,Normal,2.376990759
CRNN,GSM1551323,Normal,14.9382138378125
CRISP3,GSM1551323,Normal,13.8326917653906
TMPRSS11B,GSM1551323,Normal,13.4896627976562
SPINK7,GSM1551323,Normal,14.2740131026562
MAL,GSM1551323,Normal,15.249426614375
CDKN2A,GSM1551323,Normal,7.01467174967969
CRNN,GSM1551324,Normal,11.372713129375
CRISP3,GSM1551324,Normal,11.9753187171094
TMPRSS11B,GSM1551324,Normal,9.30161934769531
SPINK7,GSM1551324,Normal,2.93190917378906
MAL,GSM1551324,Normal,12.8301722864844
CDKN2A,GSM1551324,Normal,5.86399896661719
CRNN,GSM1551325,Normal,14.9578128753125
CRISP3,GSM1551325,Normal,15.2286185033594
TMPRSS11B,GSM1551325,Normal,13.8142701321875
SPINK7,GSM1551325,Normal,14.3278659145312
MAL,GSM1551325,Normal,15.3778837852344
CDKN2A,GSM1551325,Normal,7.01852593532812
CRNN,GSM1551326,Normal,14.4147593235156
CRISP3,GSM1551326,Normal,13.5421175182031
TMPRSS11B,GSM1551326,Normal,13.4681773610156
SPINK7,GSM1551326,Normal,13.1468511210937
MAL,GSM1551326,Normal,15.1904831051563
CDKN2A,GSM1551326,Normal,2.36539290457812
CRNN,GSM1551327,Normal,15.0827433827344
CRISP3,GSM1551327,Normal,15.7418978802344
TMPRSS11B,GSM1551327,Normal,14.0380870053125
SPINK7,GSM1551327,Normal,14.9991766484375
MAL,GSM1551327,Normal,15.2892251717969
CDKN2A,GSM1551327,Normal,2.346804353375
CRNN,GSM1551328,Normal,1.40524016747656
CRISP3,GSM1551328,Normal,13.8085300222656
TMPRSS11B,GSM1551328,Normal,4.24535382695313
SPINK7,GSM1551328,Normal,2.69205152954687
MAL,GSM1551328,Normal,10.8004775719141
CDKN2A,GSM1551328,Normal,3.70330867467188
CRNN,GSM1551329,Normal,12.0172680058594
CRISP3,GSM1551329,Normal,14.4753971467188
TMPRSS11B,GSM1551329,Normal,11.5658176078125
SPINK7,GSM1551329,Normal,4.54354201907031
MAL,GSM1551329,Normal,13.6278216903125
CDKN2A,GSM1551329,Normal,2.42072686715625
CRNN,GSM1551330,Normal,9.7762885616875
CRISP3,GSM1551330,Normal,11.5842582883594
TMPRSS11B,GSM1551330,Normal,6.10858705297656
SPINK7,GSM1551330,Normal,2.70289226833594
MAL,GSM1551330,Normal,10.6370324137266
CDKN2A,GSM1551330,Normal,11.1568727196094
CRNN,GSM1551331,Normal,1.81953951899219
CRISP3,GSM1551331,Normal,10.3128478825547
TMPRSS11B,GSM1551331,Normal,2.74020028589844
SPINK7,GSM1551331,Normal,2.67008647123438
MAL,GSM1551331,Normal,2.87066684080469
CDKN2A,GSM1551331,Normal,2.3106790805
CRNN,GSM1551332,Normal,14.4346720484375
CRISP3,GSM1551332,Normal,13.9432876842188
TMPRSS11B,GSM1551332,Normal,13.1069925983594
SPINK7,GSM1551332,Normal,13.123416255625
MAL,GSM1551332,Normal,14.8938157265625
CDKN2A,GSM1551332,Normal,2.836760430125
CRNN,GSM1551333,Normal,13.2843541096875
CRISP3,GSM1551333,Normal,12.6765728852344
TMPRSS11B,GSM1551333,Normal,12.1416735
SPINK7,GSM1551333,Normal,11.7548274667187
MAL,GSM1551333,Normal,14.2641460722656
CDKN2A,GSM1551333,Normal,4.91891215939062
CRNN,GSM1551334,Normal,15.2350344353125
CRISP3,GSM1551334,Normal,13.4097659753906
TMPRSS11B,GSM1551334,Normal,12.3678926699219
SPINK7,GSM1551334,Normal,13.4724708366406
MAL,GSM1551334,Normal,15.6162827251562
CDKN2A,GSM1551334,Normal,2.97764338961719
CRNN,GSM1551335,CIN1,15.3274428210938
CRISP3,GSM1551335,CIN1,10.4102625473203
TMPRSS11B,GSM1551335,CIN1,12.8681042996094
SPINK7,GSM1551335,CIN1,13.5241134145313
MAL,GSM1551335,CIN1,14.8167715766406
CDKN2A,GSM1551335,CIN1,11.8251900307031
CRNN,GSM1551336,CIN1,13.8381679001563
CRISP3,GSM1551336,CIN1,3.8563373180625
TMPRSS11B,GSM1551336,CIN1,12.1298208225781
SPINK7,GSM1551336,CIN1,11.0638291654766
MAL,GSM1551336,CIN1,14.3421966675781
CDKN2A,GSM1551336,CIN1,2.36972504903906
CRNN,GSM1551337,CIN1,14.8355381710938
CRISP3,GSM1551337,CIN1,11.3738731057813
TMPRSS11B,GSM1551337,CIN1,12.4044306940625
SPINK7,GSM1551337,CIN1,13.4036473235938
MAL,GSM1551337,CIN1,14.7599180166406
CDKN2A,GSM1551337,CIN1,10.5643279975547
CRNN,GSM1551338,CIN1,13.1136965108594
CRISP3,GSM1551338,CIN1,6.40520283409375
TMPRSS11B,GSM1551338,CIN1,10.5493920076953
SPINK7,GSM1551338,CIN1,7.66791486998437
MAL,GSM1551338,CIN1,13.851179425625
CDKN2A,GSM1551338,CIN1,2.55511933178906
CRNN,GSM1551339,CIN1,11.8201481407812
CRISP3,GSM1551339,CIN1,9.20049472239062
TMPRSS11B,GSM1551339,CIN1,12.1905618203125
SPINK7,GSM1551339,CIN1,8.6416661153125
MAL,GSM1551339,CIN1,11.6655881027344
CDKN2A,GSM1551339,CIN1,8.44391082732031
CRNN,GSM1551340,CIN1,13.6814195214844
CRISP3,GSM1551340,CIN1,8.90457312582813
TMPRSS11B,GSM1551340,CIN1,11.3264672477344
SPINK7,GSM1551340,CIN1,7.08457128204688
MAL,GSM1551340,CIN1,14.5312070875781
CDKN2A,GSM1551340,CIN1,6.26645748003125
CRNN,GSM1551341,CIN1,14.8167715766406
CRISP3,GSM1551341,CIN1,15.1231591539063
TMPRSS11B,GSM1551341,CIN1,14.1072403828125
SPINK7,GSM1551341,CIN1,14.4753971467188
MAL,GSM1551341,CIN1,14.9425124399219
CDKN2A,GSM1551341,CIN1,3.02104368484375
CRNN,GSM1551342,CIN1,14.8582778235938
CRISP3,GSM1551342,CIN1,15.5916422925
TMPRSS11B,GSM1551342,CIN1,14.6231822919531
SPINK7,GSM1551342,CIN1,15.3517894714844
MAL,GSM1551342,CIN1,15.0598928127344
CDKN2A,GSM1551342,CIN1,2.49748661148438
CRNN,GSM1551343,CIN1,14.6054841483594
CRISP3,GSM1551343,CIN1,11.0330074913281
TMPRSS11B,GSM1551343,CIN1,12.1982475871094
SPINK7,GSM1551343,CIN1,12.3868694275781
MAL,GSM1551343,CIN1,14.8630963115625
CDKN2A,GSM1551343,CIN1,12.2120070673437
CRNN,GSM1551344,CIN1,14.7933210528125
CRISP3,GSM1551344,CIN1,13.3310901784375
TMPRSS11B,GSM1551344,CIN1,13.3793150935937
SPINK7,GSM1551344,CIN1,12.6787898239844
MAL,GSM1551344,CIN1,14.8401032669531
CDKN2A,GSM1551344,CIN1,7.80643641603125
CRNN,GSM1551345,CIN1,12.9710160007812
CRISP3,GSM1551345,CIN1,9.54158579979688
TMPRSS11B,GSM1551345,CIN1,7.59094704898437
SPINK7,GSM1551345,CIN1,2.50375743439844
MAL,GSM1551345,CIN1,12.7683273076563
CDKN2A,GSM1551345,CIN1,1.8092444493125
CRNN,GSM1551346,CIN1,9.68377027728125
CRISP3,GSM1551346,CIN1,6.23636897707031
TMPRSS11B,GSM1551346,CIN1,5.45090231534375
SPINK7,GSM1551346,CIN1,4.57191968896094
MAL,GSM1551346,CIN1,7.27458988896094
CDKN2A,GSM1551346,CIN1,11.7488010728906
CRNN,GSM1551347,CIN1,10.7910790651484
CRISP3,GSM1551347,CIN1,3.71122170935937
TMPRSS11B,GSM1551347,CIN1,6.28095933413281
SPINK7,GSM1551347,CIN1,2.69013872853906
MAL,GSM1551347,CIN1,10.8475189990234
CDKN2A,GSM1551347,CIN1,11.6854823583594
CRNN,GSM1551348,CIN1,14.4980899305469
CRISP3,GSM1551348,CIN1,13.2751741033594
TMPRSS11B,GSM1551348,CIN1,12.9102991598438
SPINK7,GSM1551348,CIN1,12.7889749375
MAL,GSM1551348,CIN1,15.0938177140625
CDKN2A,GSM1551348,CIN1,4.38393903603125
CRNN,GSM1551349,CIN2,15.1231591539063
CRISP3,GSM1551349,CIN2,14.9578128753125
TMPRSS11B,GSM1551349,CIN2,14.2891972464062
SPINK7,GSM1551349,CIN2,14.73241236
MAL,GSM1551349,CIN2,15.4839147409375
CDKN2A,GSM1551349,CIN2,1.9394670741875
CRNN,GSM1551350,CIN2,10.6344112338437
CRISP3,GSM1551350,CIN2,4.01394968252344
TMPRSS11B,GSM1551350,CIN2,11.4709608239844
SPINK7,GSM1551350,CIN2,7.48810497629688
MAL,GSM1551350,CIN2,13.5871978445313
CDKN2A,GSM1551350,CIN2,10.8932970360156
CRNN,GSM1551351,CIN2,9.69046458305469
CRISP3,GSM1551351,CIN2,4.19871659302344
TMPRSS11B,GSM1551351,CIN2,7.29954076225
SPINK7,GSM1551351,CIN2,6.20683061492969
MAL,GSM1551351,CIN2,10.9123300679063
CDKN2A,GSM1551351,CIN2,12.4950666603125
CRNN,GSM1551352,CIN2,14.7886482960938
CRISP3,GSM1551352,CIN2,13.3027652257813
TMPRSS11B,GSM1551352,CIN2,13.6880851482812
SPINK7,GSM1551352,CIN2,14.4753971467188
MAL,GSM1551352,CIN2,14.8733455592969
CDKN2A,GSM1551352,CIN2,2.65843446900781
CRNN,GSM1551353,CIN2,14.8355381710938
CRISP3,GSM1551353,CIN2,13.4745275794531
TMPRSS11B,GSM1551353,CIN2,13.1969741491406
SPINK7,GSM1551353,CIN2,11.8636936235156
MAL,GSM1551353,CIN2,14.5312070875781
CDKN2A,GSM1551353,CIN2,11.6693279450781
CRNN,GSM1551354,CIN2,14.9281323598437
CRISP3,GSM1551354,CIN2,12.8667896852344
TMPRSS11B,GSM1551354,CIN2,13.2360330760156
SPINK7,GSM1551354,CIN2,13.016195594375
MAL,GSM1551354,CIN2,14.1963942842969
CDKN2A,GSM1551354,CIN2,11.8018725279688
CRNN,GSM1551355,CIN2,14.8538110544531
CRISP3,GSM1551355,CIN2,13.7325535973438
TMPRSS11B,GSM1551355,CIN2,13.7302573188281
SPINK7,GSM1551355,CIN2,14.2134542847656
MAL,GSM1551355,CIN2,14.8304652573438
CDKN2A,GSM1551355,CIN2,3.07814566805469
CRNN,GSM1551356,CIN2,12.5086988069531
CRISP3,GSM1551356,CIN2,9.93632923310937
TMPRSS11B,GSM1551356,CIN2,8.99680829145312
SPINK7,GSM1551356,CIN2,5.77159996686719
MAL,GSM1551356,CIN2,13.218170463125
CDKN2A,GSM1551356,CIN2,10.0137279087578
CRNN,GSM1551357,CIN2,13.8619238235938
CRISP3,GSM1551357,CIN2,13.2289874039844
TMPRSS11B,GSM1551357,CIN2,12.2390934135156
SPINK7,GSM1551357,CIN2,14.0027058417969
MAL,GSM1551357,CIN2,14.1428449950781
CDKN2A,GSM1551357,CIN2,12.2009139219531
CRNN,GSM1551358,CIN2,14.6567785759375
CRISP3,GSM1551358,CIN2,12.8247366645312
TMPRSS11B,GSM1551358,CIN2,12.4141891379687
SPINK7,GSM1551358,CIN2,12.2850906461719
MAL,GSM1551358,CIN2,13.3679022144531
CDKN2A,GSM1551358,CIN2,12.30001380875
CRNN,GSM1551359,CIN2,13.6906256828906
CRISP3,GSM1551359,CIN2,11.3866027415625
TMPRSS11B,GSM1551359,CIN2,11.0451317604531
SPINK7,GSM1551359,CIN2,9.40268852621094
MAL,GSM1551359,CIN2,13.7675453665625
CDKN2A,GSM1551359,CIN2,11.2830047976563
CRNN,GSM1551360,CIN2,14.2641460722656
CRISP3,GSM1551360,CIN2,7.47995023545313
TMPRSS11B,GSM1551360,CIN2,13.32377867875
SPINK7,GSM1551360,CIN2,11.6989165130469
MAL,GSM1551360,CIN2,14.4509176011719
CDKN2A,GSM1551360,CIN2,11.3242433096094
CRNN,GSM1551361,CIN2,13.1202378873437
CRISP3,GSM1551361,CIN2,11.5230537989844
TMPRSS11B,GSM1551361,CIN2,13.089114283125
SPINK7,GSM1551361,CIN2,8.89242523852344
MAL,GSM1551361,CIN2,14.0240339741406
CDKN2A,GSM1551361,CIN2,11.0335613491641
CRNN,GSM1551362,CIN2,14.4834457236719
CRISP3,GSM1551362,CIN2,13.7699915614063
TMPRSS11B,GSM1551362,CIN2,14.161486113125
SPINK7,GSM1551362,CIN2,14.7509554424219
MAL,GSM1551362,CIN2,15.1357693277344
CDKN2A,GSM1551362,CIN2,2.11028215083594
CRNN,GSM1551363,CIN2,11.2942651796875
CRISP3,GSM1551363,CIN2,9.5869481975
TMPRSS11B,GSM1551363,CIN2,8.26952557772656
SPINK7,GSM1551363,CIN2,9.01721722903906
MAL,GSM1551363,CIN2,11.0509564205469
CDKN2A,GSM1551363,CIN2,11.7204737372656
CRNN,GSM1551364,CIN2,12.6859330358594
CRISP3,GSM1551364,CIN2,7.53709830821875
TMPRSS11B,GSM1551364,CIN2,10.3496327548203
SPINK7,GSM1551364,CIN2,7.76340136885938
MAL,GSM1551364,CIN2,9.97690074192969
CDKN2A,GSM1551364,CIN2,11.5101562313281
CRNN,GSM1551365,CIN2,7.12946396060937
CRISP3,GSM1551365,CIN2,5.17681922703125
TMPRSS11B,GSM1551365,CIN2,3.26503044919531
SPINK7,GSM1551365,CIN2,2.67857842840625
MAL,GSM1551365,CIN2,9.43428390755469
CDKN2A,GSM1551365,CIN2,4.65465212404687
CRNN,GSM1551366,CIN2,14.4255344592188
CRISP3,GSM1551366,CIN2,14.8783627701563
TMPRSS11B,GSM1551366,CIN2,13.5009894297656
SPINK7,GSM1551366,CIN2,12.3953473801563
MAL,GSM1551366,CIN2,14.5276468307031
CDKN2A,GSM1551366,CIN2,11.5363994553125
CRNN,GSM1551367,CIN2,14.7984894485938
CRISP3,GSM1551367,CIN2,15.4374494496094
TMPRSS11B,GSM1551367,CIN2,14.4676726314844
SPINK7,GSM1551367,CIN2,14.26096988375
MAL,GSM1551367,CIN2,14.9879236180469
CDKN2A,GSM1551367,CIN2,8.78076779510156
CRNN,GSM1551368,CIN2,12.4190869796094
CRISP3,GSM1551368,CIN2,3.62556172014844
TMPRSS11B,GSM1551368,CIN2,12.31323117875
SPINK7,GSM1551368,CIN2,10.1005390822734
MAL,GSM1551368,CIN2,11.2587477389844
CDKN2A,GSM1551368,CIN2,11.7923260478906
CRNN,GSM1551369,CIN2,14.3807520175
CRISP3,GSM1551369,CIN2,9.61018412440625
TMPRSS11B,GSM1551369,CIN2,12.5865945023438
SPINK7,GSM1551369,CIN2,9.33290036829687
MAL,GSM1551369,CIN2,14.4075091594531
CDKN2A,GSM1551369,CIN2,10.4714379590313
CRNN,GSM1551370,CIN2,14.0147783559375
CRISP3,GSM1551370,CIN2,7.65988716817187
TMPRSS11B,GSM1551370,CIN2,13.393260900625
SPINK7,GSM1551370,CIN2,8.57866237560937
MAL,GSM1551370,CIN2,14.1739702189844
CDKN2A,GSM1551370,CIN2,11.1205143477344
CRNN,GSM1551371,CIN3,11.8977409046094
CRISP3,GSM1551371,CIN3,4.7367079375625
TMPRSS11B,GSM1551371,CIN3,10.1040779136719
SPINK7,GSM1551371,CIN3,11.2850931402344
MAL,GSM1551371,CIN3,12.7233433314062
CDKN2A,GSM1551371,CIN3,11.7198109024219
CRNN,GSM1551372,CIN3,12.4044306940625
CRISP3,GSM1551372,CIN3,5.51397984000781
TMPRSS11B,GSM1551372,CIN3,10.1967074145859
SPINK7,GSM1551372,CIN3,9.44601945960937
MAL,GSM1551372,CIN3,12.050861483125
CDKN2A,GSM1551372,CIN3,11.5945091120313
CRNN,GSM1551373,CIN3,13.1152190639063
CRISP3,GSM1551373,CIN3,5.66329914725
TMPRSS11B,GSM1551373,CIN3,8.657233951375
SPINK7,GSM1551373,CIN3,4.50343297282031
MAL,GSM1551373,CIN3,11.8780688871875
CDKN2A,GSM1551373,CIN3,11.1479131567969
CRNN,GSM1551374,CIN3,12.2962536007813
CRISP3,GSM1551374,CIN3,3.6525521603125
TMPRSS11B,GSM1551374,CIN3,10.0076993226641
SPINK7,GSM1551374,CIN3,11.1107567892187
MAL,GSM1551374,CIN3,7.42018590359375
CDKN2A,GSM1551374,CIN3,12.7333404853125
